epoch,lr,train_total,train_det,train_seg,train_cls,val_total,val_det,val_seg,val_cls
1,3.00e-04,11.9330,0.0060,0.4515,2.2951,11.6142,0.0075,0.1525,2.2908
2,3.00e-04,11.2518,0.0057,0.1892,2.2114,10.8999,0.0065,0.1281,2.1531
3,2.99e-04,10.2597,0.0056,0.1495,2.0209,8.7827,0.0059,0.1080,1.7338
4,2.98e-04,8.4041,0.0054,0.1196,1.6558,7.6760,0.0058,0.0981,1.5144
5,2.97e-04,6.7371,0.0054,0.0986,1.3266,6.6164,0.0061,0.0863,1.3048
6,2.96e-04,5.2745,0.0050,0.0887,1.0362,6.0596,0.0060,0.0887,1.1930
7,2.94e-04,4.2158,0.0046,0.0778,0.8267,4.9300,0.0049,0.0699,0.9710
8,2.93e-04,3.4336,0.0039,0.0681,0.6723,5.2012,0.0032,0.0801,1.0236
9,2.91e-04,2.7666,0.0037,0.0668,0.5392,5.2604,0.0036,0.0739,1.0366
10,2.89e-04,2.3995,0.0033,0.0640,0.4664,6.5857,0.0030,0.0890,1.2987
11,2.86e-04,1.8982,0.0029,0.0574,0.3676,4.8662,0.0022,0.0752,0.9578
12,2.84e-04,1.7239,0.0026,0.0548,0.3333,5.3614,0.0024,0.0663,1.0585
13,2.81e-04,1.4866,0.0025,0.0495,0.2869,5.0282,0.0033,0.0631,0.9923
14,2.78e-04,1.2800,0.0022,0.0475,0.2461,5.3954,0.0014,0.0623,1.0663
15,2.75e-04,1.1856,0.0022,0.0454,0.2276,6.4261,0.0015,0.0547,1.2740
16,2.71e-04,1.0382,0.0020,0.0414,0.1990,5.4770,0.0014,0.0564,1.0838
17,2.68e-04,0.9786,0.0019,0.0387,0.1876,6.6259,0.0021,0.0609,1.3126
18,2.64e-04,0.7947,0.0017,0.0384,0.1509,6.8810,0.0010,0.0621,1.3636
19,2.60e-04,0.7874,0.0018,0.0353,0.1500,6.6938,0.0012,0.0523,1.3281
20,2.56e-04,0.6947,0.0017,0.0338,0.1319,7.6565,0.0009,0.0510,1.5209
21,2.52e-04,0.5862,0.0016,0.0317,0.1106,6.5592,0.0008,0.0544,1.3008
22,2.48e-04,0.5834,0.0016,0.0319,0.1100,7.7915,0.0012,0.0551,1.5470
23,2.43e-04,0.4879,0.0015,0.0320,0.0909,8.5085,0.0011,0.0608,1.6893
24,2.38e-04,0.4547,0.0014,0.0294,0.0848,7.5525,0.0016,0.0577,1.4986
25,2.34e-04,0.4461,0.0014,0.0282,0.0833,6.2774,0.0012,0.0515,1.2449
