epoch,lr,train_total,train_det,train_seg,train_cls,val_total,val_det,val_seg,val_cls
1,3.00e-05,13.0940,0.0096,1.5099,2.3149,13.0436,0.0089,1.4791,2.3111
2,3.00e-05,12.9900,0.0077,1.4132,2.3138,12.9341,0.0089,1.3989,2.3052
3,2.99e-05,12.8442,0.0074,1.3213,2.3031,12.8188,0.0086,1.3020,2.3016
4,2.98e-05,12.7011,0.0071,1.2164,2.2955,12.6972,0.0085,1.1945,2.2988
5,2.97e-05,12.5608,0.0069,1.1072,2.2893,12.6958,0.0084,1.1097,2.3155
6,2.96e-05,12.4549,0.0066,1.0095,2.2878,12.4813,0.0078,1.0153,2.2917
7,2.95e-05,12.2905,0.0063,0.9121,2.2744,12.3838,0.0076,0.9272,2.2898
8,2.93e-05,12.1505,0.0061,0.8136,2.2662,12.2079,0.0074,0.8319,2.2737
9,2.91e-05,11.9681,0.0058,0.7069,2.2511,12.0749,0.0074,0.7487,2.2637
10,2.89e-05,11.7759,0.0056,0.6040,2.2332,11.8992,0.0074,0.6516,2.2480
11,2.87e-05,11.5611,0.0054,0.5036,2.2104,11.8120,0.0069,0.5746,2.2461
12,2.84e-05,11.3839,0.0053,0.4188,2.1920,11.5731,0.0071,0.4945,2.2143
13,2.82e-05,11.1874,0.0051,0.3512,2.1662,11.5545,0.0069,0.4335,2.2228
14,2.79e-05,11.0472,0.0049,0.2966,2.1492,11.3021,0.0068,0.3771,2.1836
15,2.76e-05,10.8512,0.0048,0.2537,2.1186,11.2288,0.0069,0.3400,2.1764
16,2.72e-05,10.6936,0.0046,0.2186,2.0941,11.3432,0.0069,0.3306,2.2011
17,2.69e-05,10.4823,0.0045,0.1882,2.0579,11.1482,0.0067,0.2992,2.1685
18,2.65e-05,10.3126,0.0044,0.1656,2.0285,11.1028,0.0070,0.2571,2.1677
19,2.61e-05,10.1541,0.0043,0.1483,2.0003,11.0194,0.0068,0.2551,2.1515
20,2.58e-05,9.9125,0.0041,0.1327,1.9551,10.8342,0.0065,0.2313,2.1193
21,2.53e-05,9.7311,0.0040,0.1207,1.9213,10.8282,0.0064,0.2439,2.1156
22,2.49e-05,9.6581,0.0039,0.1100,1.9089,11.0405,0.0065,0.2189,2.1630
23,2.45e-05,9.3516,0.0038,0.1016,1.8492,10.5515,0.0062,0.1947,2.0701
24,2.40e-05,9.1338,0.0037,0.0947,1.8071,10.4979,0.0062,0.2066,2.0570
25,2.36e-05,8.9020,0.0037,0.0892,1.7618,10.4216,0.0064,0.1770,2.0476
26,2.31e-05,8.6598,0.0035,0.0821,1.7148,10.5842,0.0063,0.1958,2.0764
27,2.26e-05,8.5613,0.0034,0.0765,1.6963,10.0311,0.0064,0.1624,1.9725
28,2.21e-05,8.3989,0.0035,0.0728,1.6645,10.1044,0.0062,0.1810,1.9834
29,2.16e-05,8.1169,0.0033,0.0687,1.6090,10.0849,0.0057,0.1658,1.9827
30,2.10e-05,7.8832,0.0033,0.0678,1.5624,9.6083,0.0059,0.2030,1.8799
31,2.05e-05,7.6909,0.0032,0.0650,1.5245,9.6006,0.0057,0.1487,1.8892
32,2.00e-05,7.5520,0.0030,0.0607,1.4977,10.0598,0.0062,0.2004,1.9706
33,1.94e-05,7.3829,0.0030,0.0587,1.4642,9.3562,0.0059,0.1632,1.8374
34,1.89e-05,7.1378,0.0029,0.0579,1.4154,9.7189,0.0061,0.1682,1.9089
35,1.83e-05,7.0115,0.0029,0.0551,1.3907,9.3517,0.0058,0.1501,1.8392
36,1.78e-05,6.7613,0.0029,0.0530,1.3411,9.3448,0.0052,0.1433,1.8393
37,1.72e-05,6.5564,0.0027,0.0507,1.3006,8.9940,0.0054,0.1516,1.7674
38,1.66e-05,6.4017,0.0029,0.0517,1.2694,9.0195,0.0055,0.1481,1.7732
39,1.61e-05,6.2928,0.0028,0.0479,1.2484,8.8479,0.0056,0.1588,1.7367
40,1.55e-05,5.9639,0.0027,0.0471,1.1828,8.9683,0.0050,0.1512,1.7624
41,1.49e-05,5.8839,0.0026,0.0462,1.1670,9.1013,0.0053,0.1445,1.7903
42,1.44e-05,5.6633,0.0026,0.0458,1.1230,10.0587,0.0054,0.1497,1.9807
43,1.38e-05,5.5386,0.0026,0.0436,1.0985,8.8389,0.0048,0.1425,1.7383
44,1.32e-05,5.4407,0.0025,0.0432,1.0790,9.2148,0.0052,0.1348,1.8150
45,1.27e-05,5.1668,0.0026,0.0419,1.0245,8.7408,0.0054,0.1481,1.7175
46,1.21e-05,5.0933,0.0025,0.0417,1.0098,8.7728,0.0051,0.1259,1.7284
47,1.16e-05,4.9979,0.0025,0.0404,0.9910,8.6165,0.0046,0.1292,1.6965
48,1.10e-05,4.9121,0.0025,0.0402,0.9739,9.4432,0.0051,0.1267,1.8623
49,1.05e-05,4.7500,0.0024,0.0394,0.9416,9.9736,0.0048,0.1228,1.9692
50,9.95e-06,4.6636,0.0023,0.0383,0.9246,9.1380,0.0052,0.1365,1.7993
51,9.43e-06,4.5031,0.0024,0.0391,0.8923,8.6753,0.0048,0.1396,1.7062
52,8.92e-06,4.4084,0.0024,0.0379,0.8736,8.1845,0.0047,0.1240,1.6112
53,8.41e-06,4.2947,0.0024,0.0380,0.8509,8.6333,0.0049,0.1314,1.6994
54,7.92e-06,4.2738,0.0023,0.0370,0.8469,9.5711,0.0048,0.1253,1.8882
55,7.44e-06,4.0622,0.0023,0.0359,0.8048,9.1359,0.0048,0.1259,1.8011
56,6.98e-06,3.9851,0.0023,0.0360,0.7894,8.3900,0.0047,0.1262,1.6518
57,6.52e-06,4.0358,0.0023,0.0354,0.7996,8.5787,0.0049,0.1262,1.6895
58,6.08e-06,3.8984,0.0024,0.0351,0.7722,8.3089,0.0049,0.1284,1.6351
59,5.66e-06,3.8468,0.0023,0.0349,0.7619,8.6030,0.0049,0.1341,1.6928
60,5.25e-06,3.6974,0.0022,0.0351,0.7320,8.5335,0.0048,0.1297,1.6798
61,4.85e-06,3.7002,0.0022,0.0344,0.7327,8.8242,0.0047,0.1317,1.7376
62,4.47e-06,3.6135,0.0022,0.0339,0.7155,8.6654,0.0047,0.1373,1.7047
63,4.11e-06,3.6118,0.0023,0.0337,0.7152,8.6161,0.0047,0.1283,1.6966
64,3.77e-06,3.5598,0.0022,0.0342,0.7047,8.3919,0.0047,0.1321,1.6510
65,3.44e-06,3.5271,0.0022,0.0333,0.6983,9.4964,0.0049,0.1322,1.8719
66,3.14e-06,3.4130,0.0022,0.0331,0.6755,8.8267,0.0045,0.1312,1.7382
67,2.85e-06,3.3856,0.0022,0.0331,0.6701,8.8642,0.0047,0.1380,1.7443
68,2.58e-06,3.4035,0.0022,0.0328,0.6737,8.5024,0.0047,0.1346,1.6726
69,2.33e-06,3.3772,0.0022,0.0325,0.6685,8.8216,0.0048,0.1292,1.7375
70,2.10e-06,3.3090,0.0021,0.0327,0.6548,8.6014,0.0046,0.1288,1.6936
71,1.90e-06,3.2804,0.0022,0.0320,0.6493,8.2759,0.0048,0.1351,1.6272
72,1.71e-06,3.2687,0.0022,0.0324,0.6468,8.5233,0.0046,0.1267,1.6784
